type,lat,lng,distance,price,year_built,land_size,building_area,rooms,bathroom,car,suburb_grouped,count_1km,price_mean_1km,review_mean_1km,count_2km,price_mean_2km,review_mean_2km,count_2.5km,price_mean_2.5km,review_mean_2.5km,council_area
h,-37.7996,144.9984,2.5,1480000.0,,202.0,,2,1,1.0,Abbotsford,205.0,115.31219512195122,9.652941176470588,1146.0,120.19197207678883,9.82181425485961,1799.0,119.9899944413563,9.850208044382802,Yarra
h,-37.8079,144.9934,2.5,1035000.0,1900.0,156.0,79.0,2,1,0.0,Abbotsford,424.0,123.29716981132076,9.785310734463277,1449.0,122.14906832298136,9.852739726027398,2002.0,122.01748251748252,9.854308741475512,Yarra
h,-37.8093,144.9944,2.5,1465000.0,1900.0,134.0,150.0,3,2,0.0,Abbotsford,388.0,118.87886597938144,9.786833855799372,1389.0,122.5759539236861,9.85040071237756,2028.0,122.05424063116371,9.845728334357714,Yarra
h,-37.7969,144.9969,2.5,850000.0,,94.0,,3,2,1.0,Abbotsford,203.0,121.96551724137932,9.674698795180722,1150.0,119.03478260869565,9.822079314040728,1826.0,118.26122672508215,9.846994535519126,Yarra
h,-37.8072,144.9941,2.5,1600000.0,2014.0,120.0,142.0,4,1,2.0,Abbotsford,398.0,121.68341708542714,9.763636363636364,1421.0,122.43420126671359,9.849912739965095,1942.0,121.68434603501545,9.859615384615385,Yarra
h,-37.8041,144.9953,2.5,941000.0,,181.0,,2,1,0.0,Abbotsford,312.0,116.55128205128206,9.72972972972973,1360.0,122.81102941176471,9.843351548269581,1869.0,120.72605671482076,9.858854860186419,Yarra
h,-37.8024,144.9993,2.5,1876000.0,1910.0,245.0,210.0,3,2,0.0,Abbotsford,208.0,109.41826923076923,9.604651162790697,1189.0,121.24726661059714,9.824634655532359,1706.0,121.24736225087925,9.849415204678362,Yarra
h,-37.806,144.9954,2.5,1636000.0,1890.0,256.0,107.0,2,1,2.0,Abbotsford,308.0,120.05844155844156,9.72972972972973,1379.0,122.53009427121103,9.84927797833935,1859.0,121.42173211403981,9.856760374832664,Yarra
u,-37.8008,144.9973,2.5,300000.0,,456.2983399358612,,1,1,1.0,Abbotsford,227.0,114.51982378854626,9.641711229946525,1235.0,121.02914979757085,9.836673346693386,1853.0,119.78791149487319,9.855316285329744,Yarra
h,-37.801,144.9989,2.5,1097000.0,1900.0,220.0,75.0,2,1,2.0,Abbotsford,203.0,114.8128078817734,9.625730994152047,1174.0,121.18824531516184,9.82421052631579,1754.0,120.37286202964653,9.848290598290598,Yarra
