Salario mensual BRUTO (en tu moneda local),Salario mensual NETO (en tu moneda local),Recibís algún tipo de bono,Años de experiencia,Lenguajes de programación,Nivel de estudios alcanzado,Me identifico,file
115000.0,90000.0,No,13.0,SQL,Universitario,varón,2021.1 - Encuesta Argentina.csv
512000.0,512000.0,No,6.0,"Groovy, Java, Python",,varón,2021.1 - Encuesta Argentina.csv
148000.0,109000.0,No,15.0,".NET, C#, CSS, HTML, Javascript, SQL, VBA",,varón,2021.1 - Encuesta Argentina.csv
115620.0,,No,4.0,"CSS, HTML, Java, Javascript, TypeScript",,varón,2021.1 - Encuesta Argentina.csv
47300.0,39259.0,No,0.0,Python,Universitario,varón,2021.1 - Encuesta Argentina.csv
100000.0,91713.0,Un sueldo,5.0,Java,Universitario,varón,2021.1 - Encuesta Argentina.csv
214600.0,137700.0,Un sueldo,10.0,".NET, C#, Java, Javascript",Universitario,varón,2021.1 - Encuesta Argentina.csv
45000.0,38500.0,No,0.0,Ruby,Universitario,varón,2021.1 - Encuesta Argentina.csv
150000.0,110000.0,De uno a tres sueldos,3.0,".NET, C#, Erlang, HTML, Javascript, SQL",Universitario,prefiero no decir,2021.1 - Encuesta Argentina.csv
272000.0,150000.0,3+ sueldos,13.0,"Bash/Shell, CSS, HTML, Javascript, SQL",Universitario,mujer,2021.1 - Encuesta Argentina.csv
32000.0,28000.0,No,0.0,Javascript,,varón,2021.1 - Encuesta Argentina.csv
45000.0,,No,0.0,"CSS, HTML, Javascript, TypeScript",Secundario,mujer,2021.1 - Encuesta Argentina.csv
90000.0,71000.0,No,5.0,"Bash/Shell, Python",,,2021.1 - Encuesta Argentina.csv
52000.0,,No,3.0,"CSS, HTML, TypeScript, PL/SQL",,varón,2021.1 - Encuesta Argentina.csv
98000.0,95000.0,No,20.0,"Bash/Shell, Perl, SQL",,prefiero no decir,2021.1 - Encuesta Argentina.csv
110000.0,91000.0,No,3.0,Python,Secundario,mujer,2021.1 - Encuesta Argentina.csv
30000.0,27500.0,No,1.0,"HTML, Javascript, PHP",Universitario,varón,2021.1 - Encuesta Argentina.csv
22000.0,18800.0,No,0.0,"Java, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
73000.0,54000.0,No,20.0,"SQL, VBA",,varón,2021.1 - Encuesta Argentina.csv
87000.0,70000.0,No,10.0,".NET, C#, HTML, Javascript, SQL",,varón,2021.1 - Encuesta Argentina.csv
4200000.0,3800000.0,De uno a tres sueldos,9.0,".NET, C#, CSS, HTML, Javascript",Universitario,varón,2021.1 - Encuesta Argentina.csv
103.876,82.073,No,3.0,"CSS, HTML, Javascript",Secundario,mujer,2021.1 - Encuesta Argentina.csv
34000.0,30000.0,No,0.0,Ninguno de los anteriores,,varón,2021.1 - Encuesta Argentina.csv
330000.0,233000.0,Un sueldo,9.0,Python,,varón,2021.1 - Encuesta Argentina.csv
120000.0,108000.0,Menos de un sueldo,0.0,"Python, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
250000.0,175000.0,De uno a tres sueldos,10.0,Ninguno de los anteriores,Terciario,varón,2021.1 - Encuesta Argentina.csv
,42000.0,No,30.0,"Bash/Shell, HTML, Javascript, PHP, Python, SQL",Posgrado,varón,2021.1 - Encuesta Argentina.csv
60000.0,50000.0,No,2.0,"HTML, Javascript, PHP, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
370000.0,370000.0,Menos de un sueldo,7.0,"Bash/Shell, Groovy, Javascript, PHP, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
277945.0,180632.0,No,2.0,"CSS, HTML, Javascript",Secundario,mujer,2021.1 - Encuesta Argentina.csv
135000.0,105000.0,No,3.0,"Java, SQL",Terciario,varón,2021.1 - Encuesta Argentina.csv
200000000.0,200000000.0,No,7.0,"CSS, HTML, Javascript, Python, SQL",,varón,2021.1 - Encuesta Argentina.csv
96000.0,80000.0,No,5.0,"CSS, HTML, Javascript, SQL",,varón,2021.1 - Encuesta Argentina.csv
34100.0,34100.0,No,1.0,"CSS, HTML, Javascript, TypeScript",Universitario,varón,2021.1 - Encuesta Argentina.csv
236000.0,150000.0,De uno a tres sueldos,5.0,"Javascript, TypeScript",,varón,2021.1 - Encuesta Argentina.csv
77000.0,68000.0,Menos de un sueldo,0.0,"Javascript, SQL",,mujer,2021.1 - Encuesta Argentina.csv
66000.0,59000.0,No,2.0,".NET, C#, CSS, HTML, Javascript, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
50000.0,42000.0,No,1.0,"HTML, Javascript, TypeScript",Secundario,varón,2021.1 - Encuesta Argentina.csv
55.2,49.6,No,0.0,"HTML, Javascript, PHP",,mujer,2021.1 - Encuesta Argentina.csv
52000.0,45000.0,No,0.0,"Ninguno de los anteriores, t24",Universitario,varón,2021.1 - Encuesta Argentina.csv
60000.0,105000.0,No,8.0,".NET, Javascript, Genexus",Universitario,varón,2021.1 - Encuesta Argentina.csv
50000.0,42000.0,No,0.0,Javascript,Terciario,mujer,2021.1 - Encuesta Argentina.csv
100000.0,160000.0,No,7.0,"Bash/Shell, C, C++, CSS, HTML, Java, Javascript, PHP, SQL",Universitario,varón,2021.1 - Encuesta Argentina.csv
85.0,85.0,Menos de un sueldo,1.0,"Javascript, PHP, Python",,varón,2021.1 - Encuesta Argentina.csv
